,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1999,41,PHI,NFL,16,5,11,0,0.313,-4.2,-3.3,-0.9,,,,,5.0,1,0,
1,2000,42,PHI,NFL,16,11,5,0,0.688,3.1,1.0,2.1,2.0,1.0,1.0,0.5,2.0,2,0,
2,2001,43,PHI,NFL,16,11,5,0,0.688,7.7,0.9,6.8,3.0,2.0,1.0,0.667,1.0,3,2,
3,2002,44,PHI,NFL,16,12,4,0,0.75,8.3,4.5,3.8,2.0,1.0,1.0,0.5,1.0,3,2,
4,2003,45,PHI,NFL,16,12,4,0,0.75,4.4,2.9,1.5,2.0,1.0,1.0,0.5,1.0,8,3,
5,2004,46,PHI,NFL,16,13,3,0,0.813,5.6,2.0,3.5,3.0,2.0,1.0,0.667,1.0,10,7,NFC Champions
6,2005,47,PHI,NFL,16,6,10,0,0.375,-2.3,-0.7,-1.7,,,,,4.0,8,1,
7,2006,48,PHI,NFL,16,10,6,0,0.625,3.4,3.2,0.2,2.0,1.0,1.0,0.5,1.0,4,1,
8,2007,49,PHI,NFL,16,8,8,0,0.5,5.3,0.1,5.1,,,,,4.0,4,1,
9,2008,50,PHI,NFL,16,9,6,1,0.594,7.8,4.7,3.2,3.0,2.0,1.0,0.667,2.0,5,0,
10,2009,51,PHI,NFL,16,11,5,0,0.688,6.0,5.8,0.2,1.0,0.0,1.0,0.0,2.0,8,4,
11,2010,52,PHI,NFL,16,10,6,0,0.625,4.2,5.4,-1.2,1.0,0.0,1.0,0.0,1.0,6,3,
12,2011,53,PHI,NFL,16,8,8,0,0.5,4.7,3.1,1.7,,,,,2.0,14,10,
13,2012,54,PHI,NFL,16,4,12,0,0.25,-8.9,-5.3,-3.6,,,,,4.0,6,3,
14,2013,55,KAN,NFL,16,11,5,0,0.688,6.1,1.7,4.3,1.0,0.0,1.0,0.0,2.0,8,7,
15,2014,56,KAN,NFL,16,9,7,0,0.563,5.7,0.0,5.7,,,,,2.0,6,2,
16,2015,57,KAN,NFL,16,11,5,0,0.688,9.0,3.7,5.3,2.0,1.0,1.0,0.5,2.0,6,3,
17,2016,58,KAN,NFL,16,12,4,0,0.75,5.6,1.2,4.4,1.0,0.0,1.0,0.0,1.0,3,1,
18,2017,59,KAN,NFL,16,10,6,0,0.625,3.4,3.8,-0.3,1.0,0.0,1.0,0.0,1.0,6,2,
19,2018,60,KAN,NFL,16,12,4,0,0.75,8.9,12.6,-3.8,2.0,1.0,1.0,0.5,1.0,6,3,
20,2019,61,KAN,NFL,16,12,4,0,0.75,9.1,6.2,2.9,3.0,3.0,0.0,1.0,1.0,8,4,Super Bowl Champions
21,2020,62,KAN,NFL,16,14,2,0,0.875,6.8,4.5,2.3,3.0,2.0,1.0,0.667,1.0,1,1,AFC Champions
22,2021,63,KAN,NFL,17,12,5,0,0.706,7.4,5.4,2.0,3.0,2.0,1.0,0.667,1.0,5,5,
23,2022,64,KAN,NFL,17,14,3,0,0.824,6.2,6.8,-0.6,3.0,3.0,0.0,1.0,1.0,7,3,Super Bowl Champions
24,2023,65,KAN,NFL,17,11,6,0,0.647,3.7,-0.6,4.4,4.0,4.0,0.0,1.0,1.0,5,4,Super Bowl Champions
25,2024,66,KAN,NFL,17,15,2,0,0.882,4.2,-0.2,4.4,,,,,1.0,3,1,
26,26 yrs,26 yrs,,,420,273,146,1,0.651,,,,42.0,26.0,16.0,0.619,1.8,146,73,
27,14 yrs,14 yrs,PHI,,224,130,93,1,0.583,,,,19.0,10.0,9.0,0.526,2.2,82,37,
28,12 yrs,12 yrs,KAN,,196,143,53,0,0.73,,,,23.0,16.0,7.0,0.696,1.3,64,36,
